muni_id,municipal,pop_1990,pop_2000,pop_2010,pop_20sr,pop_30sr,pop90_5_19,pop00_5_19,pop10_5_19,pop20_5_19,pop30_5_19,pop90_2034,pop00_2034,pop10_2034,pop20_2034,pop30_2034,pop90_3564,pop00_3564,pop10_3564,pop20_3564,pop30_3564,pop90_65p,pop00_65p,pop10_65p,pop20_65p,pop30_65p,mage,mageme,nhwhi,nhaa,nhas,nhpi,nhna,lat,nhmult,nhoth,nhwhi_p,nhaa_p,nhas_p,nhpi_p,nhna_p,lat_p,nhmult_p,nhoth_p,enrolled,schoolyear,li_num,enroll_chg,li_chg,hhf_c,hhf_c_p,hhnf,hhnf_p,hh1,hh1_p,hh1_65o,hh1_65o_p,hu_oo_10,hu_oo_10_p,hu_ro_10,hu_ro_10_p,hh_00,hh_10,hh_20sr,hh_30sr,hh_avg00,hh_avg10,hhs_20sr,hhs_30sr,hh10_1529,hh10_3044,hh10_4559,hh10_6074,hh10_75pl,hh20_1529,hh20_3044,hh20_4559,hh20_6074,hh20_75pl,hh30_1529,hh30_3044,hh30_4559,hh30_6074,hh30_75pl,eli_hh10,vli_hh10,li_hh10,mi_hh10,eli_hh20,vli_hh20,li_hh20,mi_hh20,eli_hh30,vli_hh30,li_hh30,mi_hh30,hu1534_20,sfr1534_20,sfo1534_20,mfr1534_20,mfo1534_20,hu3554_20,sfr3554_20,sfo3554_20,mfr3554_20,mfo3554_20,hu5574_20,sfr5574_20,sfo5574_20,mfr5574_20,mfo5574_20,hu75p_20,sfr75p_20,sfo75p_20,mfr75p_20,mfo75p_20,hu,hu_me,u1_p,u1_mep,u2_4_p,u2_4_mep,u5_9_p,u5_9_mep,u10_19_p,u10_19_mep,u20ov_p,u20ov_mep,u_oth_p,u_oth_mep,occ_hu,occ_hu_me,h_39_p,h_39_mep,h4059_p,h4059_mep,h6079_p,h6079_mep,h8099_p,h8099_mep,h_00_p,h_00_mep,tot_units,sf_units,mf_units,mf2_units,mf3_4units,mf5ovunits,hhami,hhami_me,amiu30p,amiu30mp,ami3050p,ami3050mp,ami5080p,ami5080mp,ami80100p,ami80100mp,amio100p,amio100mp,il_30_1,il_30_2,il_30_3,il_30_4,il_30_5,il_30_6,il_30_7,il_30_8,il_50_1,il_50_2,il_50_3,il_50_4,il_50_5,il_50_6,il_50_7,il_50_8,il_80_1,il_80_2,il_80_3,il_80_4,il_80_5,il_80_6,il_80_7,il_80_8,shi,shi_p,ownoccv2,ownoccv2me,o_cb,o_cb_me,o_cb50,o_cb50me,o_cb_p,o_cb_mep,o_cb50_p,o_cb50_mep,r_occv2,r_occv2_me,r_cb,r_cb_me,r_cb50,r_cb50me,r_cb_p,r_cb_mep,r_cb50_p,r_cb50_mep,eli_cbp,eli_cbmp,vli_cbp,vli_cbmp,li_cbp,li_cbmp,mod_cbp,mod_cbmp,hi_cbp,hi_cbmp,ef_cbp,ef_cbmp,sf_cbp,sf_cbmp,lf_cbp,lf_cbmp,enf_cbp,enf_cbmp,oth_cbp,oth_cbmp,hhinc10k,hhinc20k,hhinc30k,hhinc40k,hhinc50k,hhinc60k,hhinc70k,hhinc80k,hhinc90k,hhinc100k,hhinc120k,affgapvli,affgapvlim,affgapli,affgaplim,affgapmod,affgapmodm
1,Abington,13817,14605,15985,17730,19470,1904,2139,2058,1943,2079,3527,2784,2982,3238,3107,4658,5966,7069,7751,8192,1767,1779,1909,2857,4102,38.8,0.8,14617,313,282,2,41,310,194,226,91.442,1.9581,1.7642,0.0125,0.2565,1.9393,1.2136,1.4138,2031,2012-13,481,-327,275,1851,30.44,1969,32.38,1527,25.12,544,8.95,4254,69.97,1826,30.03,5263,6080,7195,8204,2.74,2.61,2.45,2.36,560,1614,2167,1222,516,580,1804,2252,1915,644,545,2004,2285,2316,1056,,,,,,,,,,,,,1026,35,308,539,144,616,8,754,-209,63,15,-37,-50,18,84,-551,-16,-369,-83,-83,6224,237,66.838,3.6769,12.982,3.0328,6.7481,2.2023,7.9531,2.973,5.2217,3.4549,0.2571,0.399,5893,225,25.6915,4.1235,19.2601,3.4914,22.9255,4.3476,21.8734,3.5742,10.2494,2.4049,12,12,0,0,0,0,5960,198,10.9899,3.0095,8.8926,2.6176,10.7383,3.0297,10.8221,3.1368,58.557,5.5054,18450,21050,23700,26300,28450,30550,32650,34750,30700,35050,39450,43800,47350,50850,54350,57850,44750,51150,57550,63900,69050,74150,79250,84350,478,7.51,4245,430.65,1326,248.67,458,138.93,31.2367,4.9267,10.7892,3.0843,1562,306.76,797,228.76,325,150,51.0243,10.681,20.8067,8.6904,87.6847,15.4276,72.7955,19.7167,48.0315,18.8777,54.69,20.9169,13.0186,4.7461,31.0089,16.7725,34.0136,8.0614,17.1843,21.9512,32.947,17.9828,44.5833,13.5976,0.37,1.3,2.42,5.13,8.2,16.78,31.31,48.65,65.05,77.82,90.49,511,379.2413,26,341.3107,-537,554.7729
2,Acton,17872,20331,21924,22577,23625,2460,3615,3875,3213,3112,4116,2815,2315,2831,2807,7653,9538,10572,10205,9781,1194,1701,2411,3862,5578,41.8,1.4,16555,232,4062,3,13,560,340,159,75.5109,1.0582,18.5276,0.0137,0.0593,2.5543,1.5508,0.7252,5423,2012-13,233,80,89,3437,41.98,2229,27.23,1886,23.04,601,7.34,6223,76.01,1964,23.99,7495,8187,9128,9971,2.69,2.66,2.45,2.34,467,2097,3439,1541,643,585,1960,3284,2353,946,541,2309,2756,2746,1620,,,,,,,,,,,,,896,20,264,455,157,1146,8,1057,-91,172,-559,-51,-453,-66,11,-551,-15,-385,-49,-102,8474,235,69.4713,2.3104,4.6967,1.4717,5.0625,1.8237,10.7505,2.2461,9.476,3.1669,0.5428,0.6067,8214,216,8.8629,1.8478,15.0353,2.0654,44.9963,3.8258,21.1712,2.2636,9.9343,1.6948,59,59,0,0,0,0,7925,222,7.3186,1.8461,7.0662,2.16,8.8328,2.1496,6.3091,1.8744,70.347,3.0995,19800,22600,25450,28250,30550,32800,35050,37300,32950,37650,42350,47050,50850,54600,58350,62150,47450,54200,61000,67750,73200,78600,84050,89450,552,6.51,6286,447.15,1861,261.24,701,166.77,29.6055,3.5827,11.1518,2.5317,1885,296.35,864,206.54,355,123,45.8355,8.2541,18.8329,5.8148,85.7143,13.3037,87.7193,14.5245,53.1915,15.6883,48.5149,21.9239,14.4395,3.3854,29.4444,14.3601,27.7974,5.4273,20.6667,16.9497,55.2448,14.4463,31.4176,10.6881,0,0.32,0.43,0.97,1.61,2.25,3.01,4.72,8.86,16.21,35.37,625,340.554,-535,350.5724,-83,553.217
3,Acushnet,9554,10161,10303,,,,,,,,,,,,,,,,,,,,,,,42.3,1.2,9919,48,31,0,16,119,107,63,96.2729,0.4659,0.3009,0,0.1553,1.155,1.0385,0.6115,976,2012-13,250,-111,126,1083,27.53,1084,27.55,874,22.22,412,10.47,3326,84.54,608,15.46,3793,3934,,,2.68,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3985,182,81.1041,4.9509,9.9875,3.8648,1.4555,0.8758,2.0075,1.6537,0,0.4768,5.4454,5.4606,3792,180,18.9346,4.2361,16.9568,3.8594,27.9536,4.634,28.8502,4.3307,7.3049,2.9531,10,10,0,0,0,0,3820,150,6.0209,3.2485,6.9372,2.1467,15.8377,4.1811,7.5916,2.8914,63.4817,5.7975,12550,14350,16150,17900,19350,20800,22200,23650,20900,23850,26850,29800,32200,34600,37000,39350,33400,38200,42950,47700,51550,55350,59150,63000,99,2.42,3171,355.77,1232,239.57,396,135.06,38.8521,6.1708,12.4882,4.0221,574,195.8,183,105.58,125,88,31.8815,14.8344,21.777,13.4112,92.9577,24.5056,60.3774,34.7081,49.1803,19.9676,21.7687,34.3424,27.8329,7.4885,18.2692,17.4873,37.4669,10.0149,23.0769,31.5328,48.6755,18.2905,56.9444,31.0295,0.21,1.98,7.39,15.71,30.59,45.06,63.79,75.13,83.87,89.18,96.15,226,276.3892,277,270.64,-499,436.047
4,Adams,9445,8809,8485,,,,,,,,,,,,,,,,,,,,,,,42,2,8166,51,40,2,8,98,115,5,96.2404,0.6011,0.4714,0.0236,0.0943,1.155,1.3553,0.0589,1400,2012-13,641,-287,127,908,23.24,1618,41.41,1366,34.96,605,15.49,2390,61.17,1517,38.83,3992,3907,,,2.2,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4015,189,54.3711,4.1277,28.8418,4.3767,5.9278,2.0735,5.2553,2.0022,4.2092,2.8216,1.3948,1.4561,3683,155,55.7154,5.4175,23.4863,4.1997,13.7388,3.0366,4.8059,1.8209,2.2536,1.2466,5,5,0,0,0,0,3770,162,24.8011,3.7643,17.1088,3.4946,21.0875,4.0701,10.2122,2.9709,26.6578,3.4072,18050,20600,23200,25750,27850,29900,31950,34000,30100,34400,38700,42950,46400,49850,53300,56700,44750,51150,57550,63900,69050,74150,79250,84350,321,7.4,2237,240.31,611,130.98,207,79.31,27.3134,5.0668,9.2535,3.4031,1379,220.03,739,158.12,348,99,53.5896,7.6397,25.2357,5.9437,82.6652,9.2979,42.7692,16.6731,27.2031,17.7189,5.0265,26.3156,3.4653,9.9707,26.0788,21.0388,28.3966,9.9446,34.9057,87.5234,52.226,16.3683,40.9245,14.3774,1.16,8.99,28.12,55.91,83.03,94.34,97.67,99.5,99.83,100,100,-761,398.0151,-171,315.2586,926,319.2507
5,Agawam,27323,28144,28438,,,,,,,,,,,,,,,,,,,,,,,43.8,1,26287,383,496,0,29,940,278,25,92.4362,1.3468,1.7441,0,0.102,3.3054,0.9776,0.0879,4113,2012-13,1149,-251,315,2965,25.42,4209,36.09,3503,30.03,1501,12.87,8657,74.22,3007,25.78,11260,11664,,,2.43,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11973,348,73.5989,2.136,8.1433,1.8596,7.5921,1.6389,4.126,1.289,6.1639,2.4832,0.3758,0.422,11470,307,14.0889,2.4982,23.4699,2.9217,37.8291,2.6265,20.5754,2.0993,4.0366,1.2066,16,16,0,0,0,0,11505,310,13.2986,2.2657,11.0387,2.029,15.3412,2.3233,11.6037,2.1288,48.7614,3.1288,18050,20600,23200,25750,27850,29900,31950,34000,30100,34400,38700,42950,46400,49850,53300,56700,44750,51150,57550,63900,69050,74150,79250,84350,471,3.9,8833,594.64,2481,304.67,1035,205.77,28.0879,2.8847,11.7174,2.1919,2434,364.33,1116,245.18,488,163,45.8505,7.3736,20.0493,5.9867,83.0967,9.4287,51.3725,12.4879,49.5751,10.1298,39.2804,11.716,7.2064,2.7235,20.7101,8.1816,29.3596,5.4657,21.6301,16.686,44.5355,9.7269,39.9554,8.8188,0.25,1.7,4.61,12.21,33.76,57.97,74.75,86,91.78,95.6,99.04,15,258.4976,0,127,-15,797.8195
6,Alford,418,399,494,,,,,,,,,,,,,,,,,,,,,,,57.8,7,481,3,3,0,0,2,5,0,97.3684,0.6073,0.6073,0,0,0.4049,1.0121,0,769,2012-13,199,-145,37,43,19.28,77,34.53,62,27.8,33,14.8,203,91.03,20,8.97,171,223,,,2.33,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,37,97.971,4.0888,1.4493,3.7649,0,3.4783,0,3.4783,0,3.4783,0.5797,3.5257,218,31,30.2752,7.702,8.7156,7.0574,22.4771,6.5107,24.3119,9.3018,14.2202,7.1883,1,1,0,0,0,0,230,31,6.5217,41.571,12.6087,7.7499,12.6087,5.8611,8.6957,41.6161,58.6957,41.861,18050,20600,23200,25750,27850,29900,31950,34000,30100,34400,38700,42950,46400,49850,53300,56700,44750,51150,57550,63900,69050,74150,79250,84350,0,0,200,35.68,60,21.95,22,10,30,9.5842,11,4.5988,8,16.4,2,13,2,5,25,154.2054,25,35.7673,50,839.637,65,313.079,13.3333,311.0417,40,556.7001,30.8824,133.1325,29.2683,154.0993,40,167.6955,0,950,30.7692,291.2071,71.4286,530.1948,0,0,1.25,13.75,15,20,25,30,32.5,38.75,52.5,43,221.2555,17,180.0056,-67,257.8236
7,Amesbury,14997,16450,16283,16421,16402,2029,2532,2017,1787,1672,3989,3056,2671,2607,2232,4868,6800,7643,7402,6808,1810,1969,2011,2964,4178,41.5,1,15479,108,106,6,30,310,206,38,95.0623,0.6633,0.651,0.0368,0.1842,1.9038,1.2651,0.2334,2337,2012-13,552,-166,195,1972,29.69,2480,37.34,1991,29.98,627,9.44,4539,68.34,2103,31.66,6380,6642,7125,7377,2.52,2.41,2.26,2.17,530,1807,2445,1254,606,454,1720,2273,2015,661,373,1749,1934,2240,1081,,,,,,,,,,,,,814,31,210,405,168,370,3,554,-241,54,-154,-41,-156,-10,53,-556,-19,-346,-74,-117,7229,224,62.6781,3.3356,14.428,2.6788,3.4998,1.7535,4.5511,1.5429,13.9853,3.6667,0.8577,0.8966,6694,195,37.4365,3.3449,11.1144,2.1124,22.6471,3.1453,19.9432,2.7511,8.8587,2.0347,23,23,0,0,0,0,6545,195,11.0008,2.2038,10.0076,2.0637,9.4729,2.4939,9.9312,2.385,59.5875,3.39,19800,22600,25450,28250,30550,32800,35050,37300,32950,37650,42350,47050,50850,54600,58350,62150,47450,54200,61000,67750,73200,78600,84050,89450,501,7.12,4958,410.27,1829,255.54,561,136.8,36.8899,4.1529,11.315,2.5954,1665,268.72,792,173.21,456,105,47.5676,7.0203,27.3874,4.4979,87.9433,10.6168,69.9248,13.4947,60.6557,17.1398,45.3125,17.8432,20.4866,4.6725,17.8082,14.8547,31.4465,5.9165,48.913,24.5885,58.7413,15.0537,53.4722,9.8467,0.15,0.89,1.85,3.47,7.53,13.95,25.83,40.07,55.94,68.27,83.1,-10,220.7057,0,127,16,531.4781
8,Amherst,35228,34874,37819,,,,,,,,,,,,,,,,,,,,,,,21.2,0.2,27717,1815,4109,11,47,2757,1217,146,73.2886,4.7992,10.8649,0.0291,0.1243,7.29,3.218,0.386,2739,2012-13,884,-624,184,2048,22.12,4775,51.57,2530,27.32,901,9.73,4258,45.99,5001,54.01,9174,9259,,,2.45,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9310,674,49.1944,1.6434,13.9527,2.687,12.6638,2.8982,12.8034,2.566,11.1386,5.3698,0.247,0.354,8618,642,20.492,2.9931,9.3061,1.8871,38.1411,2.7838,26.7928,3.1671,5.268,1.341,36,9,27,0,0,27,8770,643,24.5724,2.928,13.797,2.4965,9.122,2.0424,7.5257,2.0326,44.9829,2.0214,18050,20600,23200,25750,27850,29900,31950,34000,30100,34400,38700,42950,46400,49850,53300,56700,44750,51150,57550,63900,69050,74150,79250,84350,1035,10.76,3980,382,877,175.03,225,88.68,22.0352,3.8559,5.6533,2.1612,4368,503.97,3048,417.51,2003,357,69.7802,5.1519,45.8562,6.2295,89.801,5.0333,83.0579,9.7533,50.4359,15.5714,15.6716,15.724,11.69,4.3445,13.6986,10.6532,28.3505,6.4756,32.6577,24.4059,45.9459,15.092,68.6847,5.8164,0,0.44,1.85,5.04,11.27,20.61,34.69,47.89,59.9,70.2,84.43,1811,650.6013,-1505,490.9654,-295,624.2508
9,Andover,29151,31247,33201,34470,36507,4271,5422,5325,4639,4722,5544,3701,4062,5149,4891,12133,14150,15206,14828,15067,3093,3831,4453,6060,8035,43.3,0.9,27698,343,3415,8,15,1196,453,73,83.4252,1.0331,10.2858,0.0241,0.0452,3.6023,1.3644,0.2199,6225,2012-13,366,208,181,4542,38.33,3034,25.6,2645,22.32,1090,9.2,9448,79.72,2403,20.28,11305,11851,13130,14361,2.74,2.68,2.51,2.43,546,2771,4747,2528,1260,592,3054,4414,3573,1497,508,3756,4034,3839,2224,,,,,,,,,,,,,1448,49,589,650,160,1815,36,1810,-184,153,-805,-90,-776,-4,65,-1188,-35,-907,-108,-138,12780,305,74.9374,1.8921,7.9421,1.7612,4.5853,1.2315,3.2551,0.8493,9.2254,5.5603,0.0548,0.2107,12065,273,21.3344,2.2067,18.6987,1.9338,31.1894,2.154,21.8069,1.9121,6.9706,1.4387,56,56,0,0,0,0,11930,260,8.6337,1.6813,7.1249,1.5808,6.2448,1.1842,5.3227,1.096,72.6739,2.696,18550,21200,23850,26450,28600,30700,32800,34950,30850,35250,39650,44050,47600,51100,54650,58150,44750,51150,57550,63900,69050,74150,79250,84350,1148,9.32,9723,567.47,2418,306.2,940,201.1,24.8689,2.7948,9.6678,1.9899,2037,304.96,804,199.42,371,135,39.4698,7.8058,18.2131,6.0405,69.9684,14.0297,70.3488,14.8034,46.9799,14.8307,48.4375,17.9234,13.2041,2.6579,27.0159,8.271,21.0784,4.0718,25.6536,10.6145,45.3376,10.7905,24.2063,11.6358,0.2,0.5,0.76,0.9,1.23,1.93,3.23,6.45,10.87,16.43,33.56,606,428.9301,0,340.5275,-606,617.7605
10,Arlington,44630,42389,42844,43795,44996,3714,4149,4787,4623,4298,12540,9100,7264,7413,8178,15863,17875,19451,19003,18170,7906,7130,6761,8200,10207,41.9,0.7,35804,981,3541,7,29,1395,909,178,83.5683,2.2897,8.2649,0.0163,0.0677,3.256,2.1217,0.4155,4903,2012-13,556,381,69,5107,26.92,7988,42.11,6463,34.07,2300,12.13,11620,61.26,7349,38.74,19011,18969,19718,20844,2.22,2.24,2.21,2.14,1436,5514,5788,3638,2593,1527,5006,5786,4991,2409,1672,5217,5138,5531,3286,,,,,,,,,,,,,2617,120,299,1673,525,613,-2,1311,-768,72,-355,-106,-329,-47,127,-2133,-86,-1001,-592,-454,19929,466,47.6793,1.5296,31.1556,2.2409,3.4974,0.9196,4.9476,1.0524,12.67,7.3117,0.0502,0.1398,19087,397,52.0145,2.6401,23.0785,1.8236,16.6553,1.9,4.5633,0.8827,3.6884,0.9052,89,0,89,8,0,81,19005,435,10.5499,1.6017,8.2347,1.4559,8.261,1.3186,7.84,1.3614,65.1144,2.6131,19800,22600,25450,28250,30550,32800,35050,37300,32950,37650,42350,47050,50850,54600,58350,62150,47450,54200,61000,67750,73200,78600,84050,89450,1118,5.62,11407,653.43,3525,376.65,1341,220.93,30.9021,2.7873,11.7559,1.8159,7162,585.31,2523,352.08,1286,246,35.2276,3.9847,17.9559,3.1056,74.2382,7.2689,75.7033,10.0154,59.1054,10.0043,32.5503,9.1365,14.9555,2.2949,25.8427,7.1887,26.0194,3.7113,28.7469,15.2983,49.7196,7.2556,30.5322,5.066,0,0.21,0.62,0.8,1.18,1.76,2.8,4.84,8.86,16.92,45.74,1902,558.086,-1464,512.3153,-436,914.105
